FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,TOTAL,TOTAL_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2017,2021
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,F,Female,Y_GE15,15 years old and over,_T,Total,PT,Percentage,_T,Total,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,71.55346286428572,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,M,Male,Y_GE15,15 years old and over,_T,Total,PT,Percentage,_T,Total,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,77.36591048000001,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,RUR,Rural area,PT,Percentage,_T,Total,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,73.42298051142858,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,URB,Urban area,PT,Percentage,_T,Total,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,82.63289857142857,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,ID4D_EDU1,Education: Primary education or less,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,72.08539688214286,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,ID4D_EDU2,Education: Secondary education or more,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,81.67855046857144,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,INCOME_GE_Q3,Income Level: Richest 60%,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,76.92733500357143,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,INCOME_Q1T2,Income Level: Poorest 40%,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,70.57728598714286,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,LFP_INWORK,Employment: In the workforce/labor force,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,76.4458359792857,
A,Annual,AFE,Africa Eastern and Southern,WB_ID4D_ID_OWN_TOTL_ZS,ID ownership,_T,Total,Y_GE15,15 years old and over,_T,Total,PT,Percentage,LFP_OUTWORK,Employment: Out of the workforce/labor force,MEAN,Mean,WB_ID4D,ID4D Global Dataset,0,Units,A,Normal value,PU,Public,69.37408869714285,
